Criteria,Comment,Reference
The site plan should have a title.,Provide a title to the site plan. ,Guide to Commercial Site Plan Development
All layout sheets must have a scale.,"Please correct the scale, it does not match the site plan. ",Guide to Commercial Site Plan Development
