Criteria,Comment,Reference
The maximum allowable drainage area for temporary diversion dike is 5 acres,"There is more than 5 acres draining into the temporary diversion dike, update accordingly. ",(VESCH 3.09)
"Minimum height of temporary diversion dike is 18 inches, minimum width is 4.5 ft. and side slopes of 1.5:1 or flatter.",Ensure that the dimensions of the proposed diversion dike conform with the VESCH specification.,(VESCH 3.09)
Temporary diversion dike should be stabilized immediately after installation and a note should be added on the plan.,Add a note that the diversion dike will be stabilized immediately after installation. ,(VESCH 3.09)
