Criteria,Comment,Reference
Specify the type of outlet protection to be used with justification,,(VESCH 3.18)
Outlet protection shall be designed according to the criteria specified in Section 3.18 of VESCH,Clarify how the outlet protection was sized and if it was sized per VESCH 3.18.,(VESCH Plat 3.18-1)
