Criteria,Comment,Reference
Silt fence must be provided around the extends of construction and/or disturbance.,Provide silt fence around the extents of disturbance.,(VESCH 7.12)
The silt fence detail must be provided on the plans.,"Provide the silt fence detail, it is missing from the plans. ",(VESCH 8.9)
